model,variable,coef,se,pval
12a_intl_experience,const,-0.3760747909384467,0.5519333307674678,0.49563284193823853
12a_intl_experience,density_std,-0.5694387454518341,0.22548519493769278,0.011556895037256163
12a_intl_experience,diversity_std,0.29410482351471406,0.1910400774406531,0.12368403456502061
12a_intl_experience,exp_medium,0.33573881845356346,0.358588645419772,0.34912984446098105
12a_intl_experience,exp_high,0.04179760763583953,0.4807944250792366,0.9307236015992972
12a_intl_experience,density_x_exp_med,0.2511484959649011,0.39194396390436564,0.521667878988636
12a_intl_experience,density_x_exp_high,-0.7126883954007829,0.497342708245228,0.15185996656819886
12a_intl_experience,log_ego_size,-0.8947056572206508,0.2516224242102283,0.00037690678222709173
12a_intl_experience,year_2023,0.2107067318954925,0.2433816101419923,0.3866292957814572
12a_intl_experience,year_2024,0.4419678407288929,0.2670804464376208,0.09796270515288585
12b_full_experience,const,-1.0481621049947276,0.49254320545319435,0.033332006345185655
12b_full_experience,density_std,-0.3188841039478244,0.21037551662274157,0.12957366426307862
12b_full_experience,diversity_std,0.32346495399536074,0.14437633679225625,0.02506307539988846
12b_full_experience,hq_in_africa,-0.09473037189303975,0.2600159345518535,0.7156151424500841
12b_full_experience,exp_medium,0.5929007313565966,0.33554033839136427,0.07722775243891576
12b_full_experience,exp_high,0.2233928182885837,0.44849774037828116,0.6184196990286385
12b_full_experience,density_x_african,0.541357509445058,0.26845272942165616,0.04373893223638581
12b_full_experience,density_x_exp_high,-0.6739869624765207,0.4041825580708658,0.09540885708357885
12b_full_experience,african_x_exp_high,0.6325708708973893,0.5338113184123986,0.23601414455838965
12b_full_experience,triple_exp,-0.052248387706999924,0.49145358495751534,0.9153332382328121
12b_full_experience,log_ego_size,-0.6522563767759896,0.1804320141366784,0.0003003820270080695
12b_full_experience,year_2023,0.06617193186478532,0.1900767544324152,0.7277405348309041
12b_full_experience,year_2024,0.3573905156697942,0.19844014208783697,0.07170302311341435
