model,variable,coef,se,pval
11a_density_to_similarity,const,1.3061709361377312,0.1466532921141055,5.265798891759762e-19
11a_density_to_similarity,density_std,0.1686575695020954,0.05540310763043735,0.0023330797505985066
11a_density_to_similarity,hq_in_africa,0.13155180251190315,0.07083634028565469,0.06329364513878842
11a_density_to_similarity,density_x_african,-0.038979149504003684,0.07487214748709502,0.6026388464683153
11a_density_to_similarity,log_ego_size,-0.6131907199851198,0.06134619098298004,1.5935266740324334e-23
11a_density_to_similarity,log_experience,0.13664319632994013,0.06403719433897141,0.03285834891170508
11b_mediation,const,-1.2671512279877994,0.43233950728359666,0.003379630244466067
11b_mediation,density_std,-0.31783895393582057,0.146899563992478,0.030491371492102456
11b_mediation,diversity_std,0.28597208817533987,0.26194278222686873,0.2749496219839863
11b_mediation,type_conc_std,-0.04559623410063809,0.21910906279041434,0.8351521766668039
11b_mediation,hq_in_africa,0.11143011821379924,0.20559741961004668,0.5878308472005989
11b_mediation,log_ego_size,-0.5617176310968086,0.1697961008899196,0.0009390134001601495
11b_mediation,log_experience,0.2575546729811595,0.14359197444001,0.07286801837136797
11b_mediation,year_2023,0.07000478860483839,0.1918220721136237,0.7151513629963179
11b_mediation,year_2024,0.3505475376379311,0.20197920205322686,0.08264121374315431
