model,variable,coef,se,pval
13a_year_interaction,const,-1.2887822155999948,0.41327675209071774,0.001818059895881308
13a_year_interaction,density_std,-0.4228655373407206,0.16977383205649194,0.012747089519705842
13a_year_interaction,diversity_std,0.3267080793600531,0.14675994817111956,0.026004856327377417
13a_year_interaction,hq_in_africa,0.26018806531478483,0.22769471502361552,0.25316077214160493
13a_year_interaction,year_2023,"year_2023   -8.414043e+14
year_2023    8.414043e+14
dtype: float64","year_2023         NaN
year_2023    0.037007
dtype: float64","year_2023    NaN
year_2023    0.0
dtype: float64"
13a_year_interaction,density_x_african,0.43811539202060007,0.21612546720837314,0.0426486589414122
13a_year_interaction,density_x_2023,0.02886469990023907,0.2510774101731828,0.9084741727389516
13a_year_interaction,african_x_2023,-0.44872946654529,0.442527024993596,0.31057513626714517
13a_year_interaction,triple_year,-0.6224971074176029,0.44402527142753223,0.16093295032674304
13a_year_interaction,log_ego_size,-0.5692747163103913,0.1678134253232382,0.0006930664997036158
13a_year_interaction,log_experience,0.2571213959194332,0.14323121120406734,0.0726299298005254
13a_year_interaction,year_2023,"year_2023   -8.414043e+14
year_2023    8.414043e+14
dtype: float64","year_2023         NaN
year_2023    0.037007
dtype: float64","year_2023    NaN
year_2023    0.0
dtype: float64"
13a_year_interaction,year_2024,0.3673376223670882,0.20234891305913685,0.06946746581718004
13b_stress_interaction,const,-1.2887822155999948,0.41327675209071774,0.001818059895881308
13b_stress_interaction,density_std,-0.4228655373407206,0.16977383205649194,0.012747089519705842
13b_stress_interaction,diversity_std,0.3267080793600531,0.14675994817111956,0.026004856327377417
13b_stress_interaction,hq_in_africa,0.26018806531478483,0.22769471502361552,0.25316077214160493
13b_stress_interaction,is_stress,-841404260010084.6,,
13b_stress_interaction,density_x_african,0.43811539202060007,0.21612546720837314,0.0426486589414122
13b_stress_interaction,density_x_stress,0.02886469990023907,0.2510774101731828,0.9084741727389516
13b_stress_interaction,african_x_stress,-0.44872946654529,0.442527024993596,0.31057513626714517
13b_stress_interaction,triple_stress,-0.6224971074176029,0.44402527142753223,0.16093295032674304
13b_stress_interaction,log_ego_size,-0.5692747163103913,0.1678134253232382,0.0006930664997036158
13b_stress_interaction,log_experience,0.2571213959194332,0.14323121120406734,0.0726299298005254
13b_stress_interaction,year_2023,841404260010084.8,0.037007488916481784,0.0
13b_stress_interaction,year_2024,0.3673376223670882,0.20234891305913685,0.06946746581718004
