Variable,M1_coef,M1_se,M1_pval,M2_coef,M2_se,M2_pval,M3_coef,M3_se,M3_pval,M4_coef,M4_se,M4_pval
density_std,-0.3529279373079985,0.1460443718526003,0.01566707443207928,-0.3224796919141414,0.1440451644318649,0.025172829001648907,-0.3256653684165522,0.14355835149372775,0.023297371597413387,-0.4005322926159488,0.16029330765118563,0.012463353732580373
diversity_std,,,,0.33556898848290495,0.1427930516110411,0.018771533045866776,0.29972166184103227,0.1555147431069298,0.0539437773764126,0.3258511185852506,0.1430887662383648,0.022770372572009933
density_x_diversity,,,,,,,0.0846010650936382,0.13711233185045488,0.537221466184256,,,
hq_in_africa,,,,,,,,,,0.15349464512745564,0.20507154079838444,0.4541627506585151
density_x_african,,,,,,,,,,0.28542974594330195,0.19049277068792564,0.13403565622285254
log_ego_size,-0.43329052472994445,0.15144283338979783,0.00422196429049121,-0.5629573888338845,0.16351071600593123,0.0005754295102369468,-0.5347734013897357,0.17673720397899736,0.002479671301528435,-0.5464609701492692,0.1681605104547195,0.0011555155036471222
log_experience,0.2579911871188622,0.1431432727514152,0.07149375132298215,0.26748034295791606,0.14515469125822333,0.06536900642085824,0.28211440893678325,0.14617084424821997,0.05360287116620253,0.2684100835135237,0.14386237466062923,0.06207746183158898
year_2023,0.056627706117506234,0.18972335773532634,0.7653405458683064,0.06651690607143361,0.19064692690611537,0.7271636240660336,0.07328750323505046,0.19128714617079734,0.7016246988528361,0.05310114252374651,0.19130843905678743,0.7813438320943451
year_2024,0.3572532653850599,0.20098698156679537,0.07548690589570006,0.3470658334999221,0.20107294511931575,0.08433494980242694,0.35172870854681076,0.20180786525196867,0.08135300578376961,0.3479512305259641,0.20125441710819794,0.0838247982414053
const,-1.4692661028477072,0.37851205347078415,0.00010373345342079617,-1.2535392129196568,0.3896756685262059,0.0012959354531783696,-1.315605334470122,0.4248675633472293,0.001958153156107588,-1.3295507766055565,0.4118971512701601,0.00124715300107284
