Variable,M1_coef,M1_se,M1_p,M2_coef,M2_se,M2_p,M3_coef,M3_se,M3_p,M4_coef,M4_se,M4_p
Density,-0.353,0.146,0.0157,-0.322,0.144,0.0252,-0.326,0.144,0.0233,-0.401,0.16,0.0125
Diversity,,,,0.336,0.143,0.0188,0.3,0.156,0.0539,0.326,0.143,0.0228
Density $\times$ Diversity,,,,,,,0.085,0.137,0.5372,,,
African HQ,,,,,,,,,,0.153,0.205,0.4542
Density $\times$ African HQ,,,,,,,,,,0.285,0.19,0.134
Log(Ego Size),-0.433,0.151,0.0042,-0.563,0.164,0.0006,-0.535,0.177,0.0025,-0.546,0.168,0.0012
Log(Experience),0.258,0.143,0.0715,0.267,0.145,0.0654,0.282,0.146,0.0536,0.268,0.144,0.0621
Year 2023,0.057,0.19,0.7653,0.067,0.191,0.7272,0.073,0.191,0.7016,0.053,0.191,0.7813
Year 2024,0.357,0.201,0.0755,0.347,0.201,0.0843,0.352,0.202,0.0814,0.348,0.201,0.0838
Constant,-1.469,0.379,0.0001,-1.254,0.39,0.0013,-1.316,0.425,0.002,-1.33,0.412,0.0012
